id_news,event,category,address,latitud,longitud
53.878.712, un concierto único.,entretenimiento, Sala SCD Plaza Egaña.,,
53.412.225, estragos causados por el sistema frontal.,educacion, Región de Coquimbo,-30.7546652,-70.9005536
53.558.369," concierto,",entretenimiento," Teatro Caupolicán,",-33.4562166,-70.64923855
53.877.607," robo con violencia,",ciencia," calle Lynch a la altura del Destacamento Tucapel,",,
53.560.642," tormentas eléctricas,",medio_ambiente," zona centro y sur,",,
53.561.872, Enel,accidentes," calle Albany,",28.6920453,-106.1516518
53.412.031, creciente demanda social,politica, miércoles,-0.307869,-78.3989089
53.598.423," ""la situación especifica que se ha producido en determinados hospitales,",ciencia," Sótero del Río,",-33.437987,-70.7205772
53.409.706, la elección,educacion," La Araucanía,",-40.9071314,-73.157326
53.561.077," pandemia, estallido,",ciencia, Eurocentro,-33.442100100000005,-70.65030385455051
53.555.547," Campeonato Nacional de Enduro,",deportes," Guangualí, Región de Coquimbo.",-32.1334175,-71.3738573
53.627.438," un ciclo muy importante en mi vida,",deportes, España.,39.3260685,-4.8379791
53.557.534, seminario sobre delincuencia,ciencia," seminario sobre delincuencia organizado por Clapes UC,",,
53.425.077, Juegos Olímpicos,deportes, París 2024,-34.73311773469388,-58.44644124489796
53.709.633, concierto compartido.,entretenimiento, Gran Arena Monticello.,-33.9220276,-70.7212841
53.567.774, falta de resiliencia de la ciudad ante estos eventos climáticos,medio_ambiente, la capital,25.672851549999997,-100.29938002483908
53.554.241," liga de fútbol,",educacion," Complejo Deportivo de la Compañía Minera del Pacífico,",,
53.421.701, conciertos,ciencia," Viena, Austria,",48.2083537,16.3725042
53.410.525, encuentro donde Deportes La Serena venció a Curicó Unido.,deportes," Clínica Elqui,",-29.9090406,-71.245236
53.877.078, Día del Niño,educacion," la calle Santo Domingo 978, Santiago Centro,",,
53.554.036, megaterremoto,ciencia, Tohoku Oki,,
53.878.656, campaña 2024.,deportes, Minnesota Vikings,44.857367,-93.1179309
53.420.979, una disputa electoral,internacional, en medio de una disputa electoral en ese país,,
53.011.395, un accidente,ciencia, Banco Santander ubicado en la avenida Vicuña Mackenna.,,
53.691.662, licitación de estudios,tecnologia, Aeropuerto,7.9333076,-72.51223026914192
53.413.493," sesión del Comité Interministerial de Derechos Humanos,",politica," centro de Santiago,",7.8644479,-72.7165562
53.558.944, Encuesta Suplementaria de Ingresos (ESI) 2023,ciencia, Encuesta Suplementaria de Ingresos (ESI) 2023,,
53.562.768, la guerra.,tecnologia," en el laboratorio de IA,",,
53.415.479," ""fraude más gigantesco en la historia moderna"".",internacional, Venezuela,8.0018709,-66.1109318
53.417.619," feriado irrenunciable para el día domingo,",politica, la comisión de Hacienda de la Cámara de Diputados,,
53.557.061," una balacera entre bandas rivales,",ciencia," Puente Alto, Región Metropolitana.",-33.6095279,-70.5754736
53.562.478, ExpoRural 2024,tecnologia," Buenos Aires, Argentina,",45.4838459,9.2147675
53.017.189, fenómeno climático.,medio_ambiente, EE.UU.,38.8927368,-77.02292005112255
53.415.021, crisis política,internacional, Venezuela,8.0018709,-66.1109318
53.554.063," La gala de los Emmys®,",entretenimiento, Peacock Theatre de Los Ángeles.,34.0445026,-118.26707163660464
53.554.672, Merco Talento Chile 2024,tecnologia, Clínica Las Condes,-33.3846367,-70.5307602816784
53.582.539, Plan Municipal de Cultura,medio_ambiente," Castro,",34.4952536,-102.2592314
53.522.080, amistoso,deportes, Supercopa de Inglaterra,,
53.558.241," peligro de reiteración y de fuga inminente,",ciencia," Cuarto Juzgado de Garantía de Santiago,",,
53.557.606, salud mental,salud," Lesoto,",-29.6039267,28.3350193
53.559.505, delictuales,medio_ambiente," Municipalidad de La Florida,",-33.51748775,-70.59374713516362
53.412.648, diversos delitos económicos.,internacional, Chile,-31.7613365,-71.3187697
53.555.168," pandemia, estallido,",entretenimiento, Eurocentro,-33.442100100000005,-70.65030385455051
53.423.718, elecciones presidenciales,internacional," Chile,",-31.7613365,-71.3187697
53.788.668, temporada estival,medio_ambiente," a un costado de la calle Padre Hurtado,",,
53.563.117," doble sobrevuelo único sobre la Luna y la Tierra,",medio_ambiente, Júpiter,26.9342246,-80.0942087
53.562.247, continuidad de Maduro,internacional," Venezuela,",8.0018709,-66.1109318
53.879.244, primera misión tripulada,ciencia, Estación Espacial Internacional,,
53.708.135, fenómeno,ciencia, capitán Yáber.,,
53.882.736, audio,ciencia, Centro de Detención Preventiva Santiago 1.,-33.475696600000006,-70.6582797453631
53.523.020, Mundial de fútbol de 2026.,deportes, El Alto),-16.5048228,-68.1624337
53.554.270, “Caso Audios”.,ciencia, Cuarto Juzgado de Garantía de Santiago,,
53.559.281, la demanda,ciencia, Tesorería General de la República (TGR),,
53.555.615, Semana de la Lactancia Materna,educacion, Valparaíso,-33.0458456,-71.6196749
53.603.259, baja mortalidad,salud, cuatro hospitales del país,,
53.411.194, “sin lugar a dudas la trayectoria política,politica, la Sala del Senado,,
53.561.263," telúrico,",ciencia," Tarapacá,",-20.1636672,-69.5463448
